title,url,
ポケモン対戦動画を機械学習で解析する【リモポケ学会#mini2】,https://www.youtube.com/watch?v=RPjcT_GfoZs,
ポケモン物理数学 〜ポケモンが世界に及ぼす異常性〜【リモポケ学会#3】,https://www.youtube.com/watch?v=H_o7u1t9Hzg,
ポケモン物理数学〜Ⅰ 風といっしょに Ⅱ 強肉弱食こそ理〜【リモポケ学会#7】,https://www.youtube.com/watch?v=xuLByIymaXo,
ポケモン物理数学〜Ⅰ.お金の使い方　Ⅱ.ポケカ必勝法〜【リモポケ学会#5】,https://www.youtube.com/watch?v=l-hp3eDogXI,
ポケモン物理数学〜宇宙とは何処か？サーナイト・ウルトラワープライド仮説の提唱〜【リモポケ学会#6】,https://www.youtube.com/watch?v=tdwz7AoXaFg,
ポケモン物理数学～アイアンとクイタランの捕食・被食関係～【リモポケ学会#2】,https://www.youtube.com/watch?v=mxfyjH3oWSA,
ポニータ石井から見るポケモンカードプロモーション近代史【リモポケ学会#5】,https://www.youtube.com/watch?v=-eXsZ24oTTI,
マスダアワードを振り返る【リモポケ学会#5】,https://www.youtube.com/watch?v=0a1dDsPtidA,
むしタイプの特異性【リモポケ学会#5】,https://www.youtube.com/watch?v=QiljgtSgfiA,
ヤルカ！ポケカ【リモポケ学会#5】,https://www.youtube.com/watch?v=DaP8DB3q7mw,
リージョンフォームを生物マニアが曲解してみる&amp;リージョンフォームを実在生物で探してみよう【リモポケ学会#2】,https://www.youtube.com/watch?v=R2ikJnHC_80,
リモート&#39;2まいがいポケモン&#39;学会【リモポケ学会#6】,https://www.youtube.com/watch?v=ppXO8gJf7es,
確率・統計でキンセツゲームコーナーを徹底分析 ～最適な立ち回りを検証～【リモポケ学会#4】,https://www.youtube.com/watch?v=ZvCTfQEbJG0,
寄生？共生？パラス族とキノコ【リモポケ学会#5】,https://www.youtube.com/watch?v=acVJTe5Azk4,
剣盾ダブルとWCSの魅力【リモポケ学会ex】,https://www.youtube.com/watch?v=yPwkO-y0rdQ,
幻のポケモンゲーム「ポケモン×〇〇を想像してみた！【リモポケ学会#1】,https://www.youtube.com/watch?v=ud1nJxgIOlE,
現実世界と仮想世界を繋ぐポケモンの未来【リモポケ学会#1】,https://www.youtube.com/watch?v=L85D1VMPAc0,
黒いリザードンの歴史【リモポケ学会#2】,https://www.youtube.com/watch?v=bt7xxu6Gv_A,
今日から使える撮影知識～New ポケモンスナップやりこみのススメ～【リモポケ学会#2】,https://www.youtube.com/watch?v=h2U_2HysruQ,
私たちの居場所　令和トリプル【リモポケ学会#4】,https://www.youtube.com/watch?v=fFjNGpSzFUw,
星座とポケモン【リモポケ学会#4】,https://www.youtube.com/watch?v=c8eUW51U_c8,
増田と「伏線」【リモポケ学会#4】,https://www.youtube.com/watch?v=gLhgQY3wLr0,
第1回ポケモン六物語,https://www.youtube.com/watch?v=NeB5fxD0oXs,
第2回ポケモン六物語,https://www.youtube.com/watch?v=Vw5QR2XNx1Q,
第四世代補完として見るポケモンレンジャーシリーズ【リモポケ学会#1】,https://www.youtube.com/watch?v=6z4Qt-cL6o8,
超人と携帯獣を繋ぐモノ【リモポケ学会#mini2】,https://www.youtube.com/watch?v=HV4NYf2fDHE,
鳥ポケモンの生態について・順位に関する案【リモポケ学会#3】,https://www.youtube.com/watch?v=yDCxqijFEuo,
徹底解説！グレイシアGX（非公式）【リモポケ学会#mini1】,https://www.youtube.com/watch?v=2TMxpmr4wqs,
電気タイプジムリーダーなのに追加メンバーが水・飛行!?【リモポケ学会#4】,https://www.youtube.com/watch?v=7Uhi_U6bmJk,
同じポケモンだらけのバトル！ 種族統一をやってみよう【リモポケ学会#4】,https://www.youtube.com/watch?v=kPjkJ9glkEY,
同じポケモンだらけのバトル！種族統一をやってみよう in パルデア【リモポケ学会#7】,https://www.youtube.com/watch?v=zpK8AfetJ24,
売り上げから見るBDSPと LEGENDS アルセウス【リモポケ学会#5】,https://www.youtube.com/watch?v=bAT4F4FzC9U,
秘伝スパイス徹底考察 ～ なぜ”しぶスパイス”ではなく”しおスパイス”なのか？【リモポケ学会#7】,https://www.youtube.com/watch?v=YdZXaIbMuj0,
無敵を創ろう～ポケモン特殊戦術考察部～【リモポケ学会#4】,https://www.youtube.com/watch?v=DbzivYyeKD0,
料理を通じてポケモン界への理解を深めよう【リモポケ学会#5】,https://www.youtube.com/watch?v=U9eAo6U33hY,
歴代グレイシアについて【リモポケ学会#1】,https://www.youtube.com/watch?v=Ts1Vkr_FMrY,
